综合频道,#genre#
CCTV1,http://125.76.196.203:8899/rtp/239.112.205.59:5140
CCTV2,http://125.76.196.203:8899/rtp/239.112.205.78:5140
CCTV3,http://125.76.196.203:8899/rtp/239.112.205.221:5140
CCTV4,http://125.76.196.203:8899/rtp/239.112.205.202:5140
CCTV5,http://125.76.196.203:8899/rtp/239.112.205.222:5140
CCTV5+,http://125.76.196.203:8899/rtp/239.111.205.13:5140
CCTV6,http://125.76.196.203:8899/rtp/239.112.205.223:5140
CCTV7,http://125.76.196.203:8899/rtp/239.112.205.83:5140
CCTV8,http://125.76.196.203:8899/rtp/239.112.205.224:5140
CCTV9,http://125.76.196.203:8899/rtp/239.112.205.85:5140
CCTV10,http://125.76.196.203:8899/rtp/239.112.205.86:5140
CCTV11,http://125.76.196.203:8899/rtp/239.112.205.213:5140
CCTV12,http://125.76.196.203:8899/rtp/239.112.205.88:5140
CCTV14,http://125.76.196.203:8899/rtp/239.112.205.91:5140
CCTV15,http://125.76.196.203:8899/rtp/239.112.205.214:5140
CCTV16,http://125.76.196.203:8899/rtp/239.111.205.134:5140
CCTV17,http://125.76.196.203:8899/rtp/239.112.205.211:5140
陕西卫视,http://125.76.196.203:8899/rtp/239.111.205.35:5140
东方卫视,http://125.76.196.203:8899/rtp/239.112.205.61:5140
湖南卫视,http://125.76.196.203:8899/rtp/239.112.205.62:5140
江苏卫视,http://125.76.196.203:8899/rtp/239.112.205.63:5140
浙江卫视,http://125.76.196.203:8899/rtp/239.112.205.64:5140
北京卫视,http://125.76.196.203:8899/rtp/239.112.205.65:5140
广东卫视,http://125.76.196.203:8899/rtp/239.112.205.66:5140
深圳卫视,http://125.76.196.203:8899/rtp/239.112.205.67:5140
黑龙江卫视,http://125.76.196.203:8899/rtp/239.112.205.68:5140
湖北卫视,http://125.76.196.203:8899/rtp/239.112.205.69:5140
山东卫视,http://125.76.196.203:8899/rtp/239.112.205.70:5140
四川卫视,http://125.76.196.203:8899/rtp/239.112.205.184:5140
安徽卫视,http://125.76.196.203:8899/rtp/239.112.205.72:5140
重庆卫视,http://125.76.196.203:8899/rtp/239.112.205.179:5140
天津卫视,http://125.76.196.203:8899/rtp/239.112.205.74:5140
东南卫视,http://125.76.196.203:8899/rtp/239.112.205.182:5140
厦门卫视,http://125.76.196.203:8899/rtp/239.112.205.60:5140
河南卫视,http://125.76.196.203:8899/rtp/239.112.205.180:5140
江西卫视,http://125.76.196.203:8899/rtp/239.111.205.16:5140
吉林卫视,http://125.76.196.203:8899/rtp/239.112.205.183:5140
贵州卫视,http://125.76.196.203:8899/rtp/239.112.205.178:5140
辽宁卫视,http://125.76.196.203:8899/rtp/239.112.205.73:5140
河北卫视,http://125.76.196.203:8899/rtp/239.112.205.200:5140
云南卫视,http://125.76.196.203:8899/rtp/239.112.205.58:5140
山西卫视,http://125.76.196.203:8899/rtp/239.112.205.46:5140
甘肃卫视,http://125.76.196.203:8899/rtp/239.112.205.48:5140
宁夏卫视,http://125.76.196.203:8899/rtp/239.112.205.49:5140
海南卫视,http://125.76.196.203:8899/rtp/239.112.205.50:5140
广西卫视,http://125.76.196.203:8899/rtp/239.112.205.51:5140
青海卫视,http://125.76.196.203:8899/rtp/239.112.205.53:5140
西藏卫视,http://125.76.196.203:8899/rtp/239.112.205.54:5140
内蒙古卫视,http://125.76.196.203:8899/rtp/239.112.205.55:5140
新疆卫视,http://125.76.196.203:8899/rtp/239.112.205.56:5140
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV17,http://goo.bkpcp.top/mg/cctv17
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
北京卫视,http://goo.bkpcp.top/mg/bjws
四川卫视,http://goo.bkpcp.top/mg/scws
吉林卫视,http://goo.bkpcp.top/mg/jlws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
湖北卫视,http://goo.bkpcp.top/mg/hubws
海南卫视,http://goo.bkpcp.top/mg/hinws
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
